venue_id	provider	source_key	issns	source_name	works	rule
accounting-organizations-and-society	crossref	0361-3682	0361-3682	Accounting Organizations and Society	2221	crossref-issn
contemporary-accounting-research	crossref	0823-9150	0823-9150;1911-3846	Contemporary Accounting Research	2465	crossref-title
journal-of-accounting-and-economics	crossref	0165-4101	0165-4101	Journal of Accounting and Economics	1866	crossref-title
journal-of-accounting-research	crossref	0021-8456	0021-8456;1475-679X	Journal of Accounting Research	2804	crossref-title
review-of-accounting-studies	crossref	1380-6653	1380-6653;1573-7136	Review of Accounting Studies	1193	crossref-title
the-accounting-review	crossref	0001-4826	0001-4826;1558-7967	The Accounting Review	11738	crossref-title
agricultural-systems	crossref	0308-521X	0308-521X	Agricultural Systems	5911	crossref-issn
field-crops-research	crossref	0378-4290	0378-4290	Field Crops Research	8423	crossref-issn
agricultural-and-forest-meteorology	crossref	0168-1923	0168-1923	Agricultural and Forest Meteorology	9668	crossref-title
agriculture-ecosystems-and-environment	crossref	0167-8809	0167-8809	Agriculture Ecosystems & Environment	11135	crossref-title
agronomy-for-sustainable-development	crossref	1774-0746	1774-0746;1773-0155	Agronomy for Sustainable Development	1442	crossref-title
annual-review-of-environment-and-resources	crossref	1543-5938	1543-5938;1545-2050	Annual Review of Environment and Resources	557	crossref-title
annual-review-of-plant-biology	crossref	1543-5008	1543-5008;1545-2123	Annual Review of Plant Biology	698	crossref-title
bulletin-of-the-american-meteorological-society	crossref	0003-0007	0003-0007;1520-0477	Bulletin of the American Meteorological Society	25242	crossref-title
earth-system-science-data	crossref	1866-3516	1866-3516	Earth System Science Data	2343	crossref-title
environment-international	crossref	0160-4120	0160-4120	Environment International	14655	crossref-title
environmental-health-perspectives	crossref	0091-6765	0091-6765;1552-9924;1812-5603	Environmental Health Perspectives	26147	crossref-title
environmental-pollution	crossref	0269-7491	0269-7491	Environmental Pollution	28999	crossref-title
food-chemistry	crossref	0308-8146	0308-8146;1873-7072	Food Chemistry	50937	crossref-title
forest-ecology-and-management	crossref	0378-1127	0378-1127;1872-7042	Forest Ecology and Management	20448	crossref-title
geology	crossref	0091-7613	0091-7613;0091-7613;1943-2682	Geology	15264	crossref-title
global-biogeochemical-cycles	crossref	0886-6236	0886-6236;1944-9224	Global Biogeochemical Cycles	3996	crossref-title
journal-of-cleaner-production	crossref	0959-6526	0959-6526	Journal of Cleaner Production	48770	crossref-title
journal-of-climate	crossref	0894-8755	0894-8755;1520-0442	Journal of Climate	14040	crossref-title
journal-of-hydrology	crossref	0022-1694	0022-1694	Journal of Hydrology	29084	crossref-title
limnology-and-oceanography	crossref	0024-3590	0024-3590;0024-3590;1939-5590	Limnology and Oceanography	13411	crossref-title
nature-food	crossref	2662-1355	2662-1355	Nature Food	1406	crossref-title
nature-plants	crossref	2055-026X	2055-026X;2055-0278	Nature Plants	2968	crossref-title
new-phytologist	crossref	0028-646X	0028-646X;1469-8137	New Phytologist	23623	crossref-title
resources-conservation-and-recycling	crossref	0921-3449	0921-3449	Resources Conservation and Recycling	8018	crossref-title
soil-biology-and-biochemistry	crossref	0038-0717	0038-0717	Soil Biology and Biochemistry	13111	crossref-title
the-plant-journal	crossref	0960-7412	0960-7412;1365-313X	The Plant Journal	13419	crossref-title
trends-in-food-science-and-technology	crossref	0924-2244	0924-2244	Trends in Food Science & Technology	7923	crossref-title
water-resources-research	crossref	0043-1397	0043-1397;1944-7973	Water Resources Research	23376	crossref-title
american-anthropologist	crossref	0002-7294	0002-7294;1548-1433	American Anthropologist	31708	crossref-title
current-anthropology	crossref	0011-3204	0011-3204;1537-5382	Current Anthropology	8456	crossref-issn
the-art-bulletin	crossref	0004-3079	0004-3079;1559-6478	The Art Bulletin	10832	crossref-title
journal-of-the-american-chemical-society	crossref	0002-7863	0002-7863;1520-5126	Journal of the American Chemical Society	220563	crossref-issn
american-journal-of-gastroenterology	crossref	0002-9270	0002-9270;1572-0241	The American Journal of Gastroenterology	87471	crossref-title
american-journal-of-obstetrics-and-gynecology	crossref	0002-9378	0002-9378	American Journal of Obstetrics and Gynecology	95197	crossref-title
american-journal-of-respiratory-and-critical-care-medicine	crossref	1073-449X	1073-449X;1535-4970;0003-0805	American Journal of Respiratory and Critical Care Medicine	32550	crossref-title
anesthesiology	crossref	0003-3022	0003-3022;1528-1175	Anesthesiology	57731	crossref-title
annals-of-oncology	crossref	0923-7534	0923-7534;1569-8041	Annals of Oncology	67482	crossref-title
arthritis-and-rheumatology	crossref	2326-5191	2326-5191;2326-5205	Arthritis & Rheumatology	5511	crossref-title
brain	crossref	0006-8950	0006-8950;1460-2156	Brain	19108	crossref-title
critical-care-medicine	crossref	0090-3493	0090-3493;1530-0293	Critical Care Medicine	56767	crossref-title
diabetologia	crossref	0012-186X	0012-186X;1432-0428	Diabetologia	14886	crossref-title
european-urology	crossref	0302-2838	0302-2838;1421-993X;1873-7560	European Urology	26538	crossref-title
hepatology	crossref	0270-9139	0270-9139;1527-3350	Hepatology	31018	crossref-title
jama-cardiology	crossref	2380-6583	2380-6583	JAMA Cardiology	3228	crossref-title
jama-internal-medicine	crossref	2168-6106	2168-6106	JAMA Internal Medicine	7847	crossref-title
